"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429061.846091;"2025-01-09 10:24:21.846091";"000.01";0;" ";" ";" "
1736429061.875993;"2025-01-09 10:24:21.875993";"000.01";0;" ";" ";" "
1736429061.906448;"2025-01-09 10:24:21.906448";"000.01";0;" ";" ";" "
1736429061.936122;"2025-01-09 10:24:21.936122";"000.01";0;" ";" ";" "
1736429061.966348;"2025-01-09 10:24:21.966348";"000.01";0;" ";" ";" "
1736429061.995523;"2025-01-09 10:24:21.995523";"000.01";0;" ";" ";" "
1736429062.024525;"2025-01-09 10:24:22.024525";"000.01";0;" ";" ";" "
1736429062.053843;"2025-01-09 10:24:22.053843";"000.01";0;" ";" ";" "
1736429062.084263;"2025-01-09 10:24:22.084263";"000.01";0;" ";" ";" "
1736429062.113845;"2025-01-09 10:24:22.113845";"000.01";0;" ";" ";" "
1736429062.143011;"2025-01-09 10:24:22.143011";"000.01";0;" ";" ";" "
1736429062.172429;"2025-01-09 10:24:22.172429";"000.01";0;" ";" ";" "
1736429062.202242;"2025-01-09 10:24:22.202242";"000.01";0;" ";" ";" "
1736429062.231959;"2025-01-09 10:24:22.231959";"000.01";0;" ";" ";" "
1736429062.260829;"2025-01-09 10:24:22.260829";"000.01";0;" ";" ";" "
1736429062.290823;"2025-01-09 10:24:22.290823";"000.01";0;" ";" ";" "
1736429062.320012;"2025-01-09 10:24:22.320012";"000.01";0;" ";" ";" "
1736429062.350568;"2025-01-09 10:24:22.350568";"000.01";0;" ";" ";" "
1736429062.38082;"2025-01-09 10:24:22.380820";"000.01";0;" ";" ";" "
1736429062.409723;"2025-01-09 10:24:22.409723";"000.01";0;" ";" ";" "
1736429062.439834;"2025-01-09 10:24:22.439834";"000.01";0;" ";" ";" "
1736429062.469388;"2025-01-09 10:24:22.469388";"000.01";0;" ";" ";" "
1736429062.499176;"2025-01-09 10:24:22.499176";"000.01";0;" ";" ";" "
1736429062.528231;"2025-01-09 10:24:22.528231";"000.01";0;" ";" ";" "
1736429062.558075;"2025-01-09 10:24:22.558075";"000.01";0;" ";" ";" "
1736429062.587519;"2025-01-09 10:24:22.587519";"000.01";0;" ";" ";" "
1736429062.617468;"2025-01-09 10:24:22.617468";"000.01";0;" ";" ";" "
1736429062.64812;"2025-01-09 10:24:22.648120";"000.01";0;" ";" ";" "
